CBSA,MsaName
11300,"Anderson, IN"
11340,"Anderson, SC"
13380,"Bellingham, WA"
14060,"Bloomington-Normal, IL"
14740,"Bremerton-Silverdale, WA"
22460,"Florence, AL"
23020,"Fort Walton Beach-Crestview-Destin, FL"
25060,"Gulfport-Biloxi, MS"
25500,"Harrisonburg, VA"
26100,"Holland-Grand Haven, MI"
26180,"Honolulu, HI"
27900,"Joplin, MO"
28100,"Kankakee-Bradley, IL"
28740,"Kingston, NY"
29100,"La Crosse, WI-MN"
29940,"Lawrence, KS"
30020,"Lawton, OK"
31100,"Los Angeles-Long Beach-Santa Ana, CA"
31340,"Lynchburg, VA"
31460,"Madera, CA"
32900,"Merced, CA"
33140,"Michigan City-La Porte, IN"
33260,"Midland, TX"
34900,"Napa, CA"
36140,"Ocean City, NJ"
36500,"Olympia, WA"
39100,"Poughkeepsie-Newburgh-Middletown, NY"
39380,"Pueblo, CO"
39460,"Punta Gorda, FL"
39900,"Reno-Sparks, NV"
41060,"St. Cloud, MN"
42060,"Santa Barbara-Santa Maria-Goleta, CA"
42260,"Sarasota-Bradenton-Venice, FL"
44220,"Springfield, OH"
46220,"Tuscaloosa, AL"
46660,"Valdosta, GA"
47020,"Victoria, TX"
49420,"Yakima, WA"
