Location,Location ID,state,Party
Autauga County,AL-001,AL,1
Baldwin County,AL-003,AL,1
Barbour County,AL-005,AL,1
Bibb County,AL-007,AL,1
Blount County,AL-009,AL,1
Bullock County,AL-011,AL,1
Butler County,AL-013,AL,1
Calhoun County,AL-015,AL,1
Chambers County,AL-017,AL,1
Cherokee County,AL-019,AL,1
Chilton County,AL-021,AL,1
Choctaw County,AL-023,AL,1
Clarke County,AL-025,AL,1
Clay County,AL-027,AL,1
Cleburne County,AL-029,AL,1
Coffee County,AL-031,AL,1
Colbert County,AL-033,AL,1
Conecuh County,AL-035,AL,1
Coosa County,AL-037,AL,1
Covington County,AL-039,AL,1
Crenshaw County,AL-041,AL,1
Cullman County,AL-043,AL,1
Dale County,AL-045,AL,1
Dallas County,AL-047,AL,1
DeKalb County,AL-049,AL,1
Elmore County,AL-051,AL,1
Escambia County,AL-053,AL,1
Etowah County,AL-055,AL,1
Fayette County,AL-057,AL,1
Franklin County,AL-059,AL,1
Geneva County,AL-061,AL,1
Greene County,AL-063,AL,1
Hale County,AL-065,AL,1
Henry County,AL-067,AL,1
Houston County,AL-069,AL,1
Jackson County,AL-071,AL,1
Jefferson County,AL-073,AL,1
Lamar County,AL-075,AL,1
Lauderdale County,AL-077,AL,1
Lawrence County,AL-079,AL,1
Lee County,AL-081,AL,1
Limestone County,AL-083,AL,1
Lowndes County,AL-085,AL,1
Macon County,AL-087,AL,1
Madison County,AL-089,AL,1
Marengo County,AL-091,AL,1
Marion County,AL-093,AL,1
Marshall County,AL-095,AL,1
Mobile County,AL-097,AL,1
Monroe County,AL-099,AL,1
Montgomery County,AL-101,AL,1
Morgan County,AL-103,AL,1
Perry County,AL-105,AL,1
Pickens County,AL-107,AL,1
Pike County,AL-109,AL,1
Randolph County,AL-111,AL,1
Russell County,AL-113,AL,1
Shelby County,AL-117,AL,1
St. Clair County,AL-115,AL,1
Sumter County,AL-119,AL,1
Talladega County,AL-121,AL,1
Tallapoosa County,AL-123,AL,1
Tuscaloosa County,AL-125,AL,1
Walker County,AL-127,AL,1
Washington County,AL-129,AL,1
Wilcox County,AL-131,AL,1
Winston County,AL-133,AL,1
Apache County,AZ-001,AZ,1
Cochise County,AZ-003,AZ,1
Coconino County,AZ-005,AZ,1
Gila County,AZ-007,AZ,1
Graham County,AZ-009,AZ,1
Greenlee County,AZ-011,AZ,1
La Paz County,AZ-012,AZ,1
Maricopa County,AZ-013,AZ,1
Mohave County,AZ-015,AZ,1
Navajo County,AZ-017,AZ,1
Pima County,AZ-019,AZ,1
Pinal County,AZ-021,AZ,1
Santa Cruz County,AZ-023,AZ,1
Yavapai County,AZ-025,AZ,1
Yuma County,AZ-027,AZ,1
Arkansas County,AR-001,AR,1
Ashley County,AR-003,AR,1
Baxter County,AR-005,AR,1
Benton County,AR-007,AR,1
Boone County,AR-009,AR,1
Bradley County,AR-011,AR,1
Calhoun County,AR-013,AR,1
Carroll County,AR-015,AR,1
Chicot County,AR-017,AR,1
Clark County,AR-019,AR,1
Clay County,AR-021,AR,1
Cleburne County,AR-023,AR,1
Cleveland County,AR-025,AR,1
Columbia County,AR-027,AR,1
Conway County,AR-029,AR,1
Craighead County,AR-031,AR,1
Crawford County,AR-033,AR,1
Crittenden County,AR-035,AR,1
Cross County,AR-037,AR,1
Dallas County,AR-039,AR,1
Desha County,AR-041,AR,1
Drew County,AR-043,AR,1
Faulkner County,AR-045,AR,1
Franklin County,AR-047,AR,1
Fulton County,AR-049,AR,1
Garland County,AR-051,AR,1
Grant County,AR-053,AR,1
Greene County,AR-055,AR,1
Hempstead County,AR-057,AR,1
Hot Spring County,AR-059,AR,1
Howard County,AR-061,AR,1
Independence County,AR-063,AR,1
Izard County,AR-065,AR,1
Jackson County,AR-067,AR,1
Jefferson County,AR-069,AR,1
Johnson County,AR-071,AR,1
Lafayette County,AR-073,AR,1
Lawrence County,AR-075,AR,1
Lee County,AR-077,AR,1
Lincoln County,AR-079,AR,1
Little River County,AR-081,AR,1
Logan County,AR-083,AR,1
Lonoke County,AR-085,AR,1
Madison County,AR-087,AR,1
Marion County,AR-089,AR,1
Miller County,AR-091,AR,1
Mississippi County,AR-093,AR,1
Monroe County,AR-095,AR,1
Montgomery County,AR-097,AR,1
Nevada County,AR-099,AR,1
Newton County,AR-101,AR,1
Ouachita County,AR-103,AR,1
Perry County,AR-105,AR,1
Phillips County,AR-107,AR,1
Pike County,AR-109,AR,1
Poinsett County,AR-111,AR,1
Polk County,AR-113,AR,1
Pope County,AR-115,AR,1
Prairie County,AR-117,AR,1
Pulaski County,AR-119,AR,1
Randolph County,AR-121,AR,1
Saline County,AR-125,AR,1
Scott County,AR-127,AR,1
Searcy County,AR-129,AR,1
Sebastian County,AR-131,AR,1
Sevier County,AR-133,AR,1
Sharp County,AR-135,AR,1
St. Francis County,AR-123,AR,1
Stone County,AR-137,AR,1
Union County,AR-139,AR,1
Van Buren County,AR-141,AR,1
Washington County,AR-143,AR,1
White County,AR-145,AR,1
Woodruff County,AR-147,AR,1
Yell County,AR-149,AR,1
Alameda County,CA-001,CA,0
Alpine County,CA-003,CA,0
Amador County,CA-005,CA,0
Butte County,CA-007,CA,0
Calaveras County,CA-009,CA,0
Colusa County,CA-011,CA,0
Contra Costa County,CA-013,CA,0
Del Norte County,CA-015,CA,0
El Dorado County,CA-017,CA,0
Fresno County,CA-019,CA,0
Glenn County,CA-021,CA,0
Humboldt County,CA-023,CA,0
Imperial County,CA-025,CA,0
Inyo County,CA-027,CA,0
Kern County,CA-029,CA,0
Kings County,CA-031,CA,0
Lake County,CA-033,CA,0
Lassen County,CA-035,CA,0
Los Angeles County,CA-037,CA,0
Madera County,CA-039,CA,0
Marin County,CA-041,CA,0
Mariposa County,CA-043,CA,0
Mendocino County,CA-045,CA,0
Merced County,CA-047,CA,0
Modoc County,CA-049,CA,0
Mono County,CA-051,CA,0
Monterey County,CA-053,CA,0
Napa County,CA-055,CA,0
Nevada County,CA-057,CA,0
Orange County,CA-059,CA,0
Placer County,CA-061,CA,0
Plumas County,CA-063,CA,0
Riverside County,CA-065,CA,0
Sacramento County,CA-067,CA,0
San Benito County,CA-069,CA,0
San Bernardino County,CA-071,CA,0
San Diego County,CA-073,CA,0
San Francisco County,CA-075,CA,0
San Joaquin County,CA-077,CA,0
San Luis Obispo County,CA-079,CA,0
San Mateo County,CA-081,CA,0
Santa Barbara County,CA-083,CA,0
Santa Clara County,CA-085,CA,0
Santa Cruz County,CA-087,CA,0
Shasta County,CA-089,CA,0
Sierra County,CA-091,CA,0
Siskiyou County,CA-093,CA,0
Solano County,CA-095,CA,0
Sonoma County,CA-097,CA,0
Stanislaus County,CA-099,CA,0
Sutter County,CA-101,CA,0
Tehama County,CA-103,CA,0
Trinity County,CA-105,CA,0
Tulare County,CA-107,CA,0
Tuolumne County,CA-109,CA,0
Ventura County,CA-111,CA,0
Yolo County,CA-113,CA,0
Yuba County,CA-115,CA,0
Adams County,CO-001,CO,0
Alamosa County,CO-003,CO,0
Arapahoe County,CO-005,CO,0
Archuleta County,CO-007,CO,0
Baca County,CO-009,CO,0
Bent County,CO-011,CO,0
Boulder County,CO-013,CO,0
Broomfield County,CO-014,CO,0
Chaffee County,CO-015,CO,0
Cheyenne County,CO-017,CO,0
Clear Creek County,CO-019,CO,0
Conejos County,CO-021,CO,0
Costilla County,CO-023,CO,0
Crowley County,CO-025,CO,0
Custer County,CO-027,CO,0
Delta County,CO-029,CO,0
Denver County,CO-031,CO,0
Dolores County,CO-033,CO,0
Douglas County,CO-035,CO,0
Eagle County,CO-037,CO,0
El Paso County,CO-041,CO,0
Elbert County,CO-039,CO,0
Fremont County,CO-043,CO,0
Garfield County,CO-045,CO,0
Gilpin County,CO-047,CO,0
Grand County,CO-049,CO,0
Gunnison County,CO-051,CO,0
Hinsdale County,CO-053,CO,0
Huerfano County,CO-055,CO,0
Jackson County,CO-057,CO,0
Jefferson County,CO-059,CO,0
Kiowa County,CO-061,CO,0
Kit Carson County,CO-063,CO,0
La Plata County,CO-067,CO,0
Lake County,CO-065,CO,0
Larimer County,CO-069,CO,0
Las Animas County,CO-071,CO,0
Lincoln County,CO-073,CO,0
Logan County,CO-075,CO,0
Mesa County,CO-077,CO,0
Mineral County,CO-079,CO,0
Moffat County,CO-081,CO,0
Montezuma County,CO-083,CO,0
Montrose County,CO-085,CO,0
Morgan County,CO-087,CO,0
Otero County,CO-089,CO,0
Ouray County,CO-091,CO,0
Park County,CO-093,CO,0
Phillips County,CO-095,CO,0
Pitkin County,CO-097,CO,0
Prowers County,CO-099,CO,0
Pueblo County,CO-101,CO,0
Rio Blanco County,CO-103,CO,0
Rio Grande County,CO-105,CO,0
Routt County,CO-107,CO,0
Saguache County,CO-109,CO,0
San Juan County,CO-111,CO,0
San Miguel County,CO-113,CO,0
Sedgwick County,CO-115,CO,0
Summit County,CO-117,CO,0
Teller County,CO-119,CO,0
Washington County,CO-121,CO,0
Weld County,CO-123,CO,0
Yuma County,CO-125,CO,0
Fairfield County,CT-001,CT,0
Hartford County,CT-003,CT,0
Litchfield County,CT-005,CT,0
Middlesex County,CT-007,CT,0
New Haven County,CT-009,CT,0
New London County,CT-011,CT,0
Tolland County,CT-013,CT,0
Windham County,CT-015,CT,0
Kent County,DE-001,DE,0
New Castle County,DE-003,DE,0
Sussex County,DE-005,DE,0
Alachua County,FL-001,FL,1
Baker County,FL-003,FL,1
Bay County,FL-005,FL,1
Bradford County,FL-007,FL,1
Brevard County,FL-009,FL,1
Broward County,FL-011,FL,1
Calhoun County,FL-013,FL,1
Charlotte County,FL-015,FL,1
Citrus County,FL-017,FL,1
Clay County,FL-019,FL,1
Collier County,FL-021,FL,1
Columbia County,FL-023,FL,1
DeSoto County,FL-027,FL,1
Dixie County,FL-029,FL,1
Duval County,FL-031,FL,1
Escambia County,FL-033,FL,1
Flagler County,FL-035,FL,1
Franklin County,FL-037,FL,1
Gadsden County,FL-039,FL,1
Gilchrist County,FL-041,FL,1
Glades County,FL-043,FL,1
Gulf County,FL-045,FL,1
Hamilton County,FL-047,FL,1
Hardee County,FL-049,FL,1
Hendry County,FL-051,FL,1
Hernando County,FL-053,FL,1
Highlands County,FL-055,FL,1
Hillsborough County,FL-057,FL,1
Holmes County,FL-059,FL,1
Indian River County,FL-061,FL,1
Jackson County,FL-063,FL,1
Jefferson County,FL-065,FL,1
Lafayette County,FL-067,FL,1
Lake County,FL-069,FL,1
Lee County,FL-071,FL,1
Leon County,FL-073,FL,1
Levy County,FL-075,FL,1
Liberty County,FL-077,FL,1
Madison County,FL-079,FL,1
Manatee County,FL-081,FL,1
Marion County,FL-083,FL,1
Martin County,FL-085,FL,1
Miami-Dade County,FL-086,FL,1
Monroe County,FL-087,FL,1
Nassau County,FL-089,FL,1
Okaloosa County,FL-091,FL,1
Okeechobee County,FL-093,FL,1
Orange County,FL-095,FL,1
Osceola County,FL-097,FL,1
Palm Beach County,FL-099,FL,1
Pasco County,FL-101,FL,1
Pinellas County,FL-103,FL,1
Polk County,FL-105,FL,1
Putnam County,FL-107,FL,1
Santa Rosa County,FL-113,FL,1
Sarasota County,FL-115,FL,1
Seminole County,FL-117,FL,1
St. Johns County,FL-109,FL,1
St. Lucie County,FL-111,FL,1
Sumter County,FL-119,FL,1
Suwannee County,FL-121,FL,1
Taylor County,FL-123,FL,1
Union County,FL-125,FL,1
Volusia County,FL-127,FL,1
Wakulla County,FL-129,FL,1
Walton County,FL-131,FL,1
Washington County,FL-133,FL,1
Appling County,GA-001,GA,1
Atkinson County,GA-003,GA,1
Bacon County,GA-005,GA,1
Baker County,GA-007,GA,1
Baldwin County,GA-009,GA,1
Banks County,GA-011,GA,1
Barrow County,GA-013,GA,1
Bartow County,GA-015,GA,1
Ben Hill County,GA-017,GA,1
Berrien County,GA-019,GA,1
Bibb County,GA-021,GA,1
Bleckley County,GA-023,GA,1
Brantley County,GA-025,GA,1
Brooks County,GA-027,GA,1
Bryan County,GA-029,GA,1
Bulloch County,GA-031,GA,1
Burke County,GA-033,GA,1
Butts County,GA-035,GA,1
Calhoun County,GA-037,GA,1
Camden County,GA-039,GA,1
Candler County,GA-043,GA,1
Carroll County,GA-045,GA,1
Catoosa County,GA-047,GA,1
Charlton County,GA-049,GA,1
Chatham County,GA-051,GA,1
Chattahoochee County,GA-053,GA,1
Chattooga County,GA-055,GA,1
Cherokee County,GA-057,GA,1
Clarke County,GA-059,GA,1
Clay County,GA-061,GA,1
Clayton County,GA-063,GA,1
Clinch County,GA-065,GA,1
Cobb County,GA-067,GA,1
Coffee County,GA-069,GA,1
Colquitt County,GA-071,GA,1
Columbia County,GA-073,GA,1
Cook County,GA-075,GA,1
Coweta County,GA-077,GA,1
Crawford County,GA-079,GA,1
Crisp County,GA-081,GA,1
Dade County,GA-083,GA,1
Dawson County,GA-085,GA,1
DeKalb County,GA-089,GA,1
Decatur County,GA-087,GA,1
Dodge County,GA-091,GA,1
