COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01001,36006,0.017749200,0.004373180,0.009727600,0.016740000
01001,36051,0.030844000,0.013605400,0.033073900,0.029749400
01001,36003,0.034838500,0.016520900,0.029182900,0.033543800
01001,36091,0.007815200,0.001457730,0.000000000,0.007269940
01001,36022,0.080826676,0.014091400,0.013618700,0.075345960
01001,36758,0.005835360,0.000971817,0.000000000,0.005420570
01001,36008,0.001042030,0.001943630,0.000000000,0.001084110
01001,36067,0.453629733,0.483479106,0.330739300,0.453574389
01001,36068,0.045745100,0.190962099,0.003891050,0.054588400
01001,36749,0.014136900,0.001457730,0.013618700,0.013296300
01001,36703,0.004550190,0.004859090,0.000000000,0.004495890
01001,36066,0.302987148,0.266277940,0.566147860,0.304891270
01003,36480,0.000039610,0.000000000,0.000000000,0.000036121
01003,36561,0.109826704,0.087060968,0.106989457,0.108128447
01003,36579,0.005908570,0.002070910,0.004295200,0.005604790
01003,36507,0.064624525,0.061050400,0.087075361,0.064710911
01003,36547,0.048872800,0.051110000,0.000780945,0.048293900
01003,36550,0.000871431,0.000331345,0.000000000,0.000818744
01003,36551,0.029001500,0.018721000,0.023818800,0.028174400
01003,36576,0.015507500,0.002402250,0.021476000,0.014647100
01003,36542,0.103522033,0.063204109,0.123389301,0.100898211
01003,36567,0.043347100,0.037276300,0.070285045,0.043321200
01003,36562,0.005373820,0.001325380,0.008590400,0.005129190
01003,36574,0.005849150,0.001988070,0.005857090,0.005568670
01003,36502,0.000838422,0.000579854,0.000000000,0.000806704
01003,36526,0.121293943,0.161944997,0.121046466,0.124244467
01003,36527,0.051883100,0.058648100,0.067161265,0.052610300
01003,36530,0.035464600,0.017478500,0.025771200,0.034008000
01003,36555,0.004198710,0.000745527,0.003904720,0.003943220
01003,36559,0.005532270,0.009360500,0.000390472,0.005731210
01003,36578,0.009988400,0.006129890,0.000390472,0.009560000
01003,36535,0.127658029,0.159377071,0.147598594,0.130270667
01003,36511,0.005314410,0.004307490,0.002342830,0.005195420
01003,36549,0.023139100,0.005135850,0.001171420,0.021492000
01003,36564,0.007532600,0.007952300,0.000390472,0.007452980
01003,36577,0.004839080,0.016070200,0.000780945,0.005592750
01003,36580,0.027707500,0.025016600,0.026552100,0.027494200
01003,36532,0.122997194,0.130301524,0.148379539,0.123919378
01003,36533,0.008654900,0.046719700,0.000780945,0.011299900
01003,36536,0.010212900,0.023691200,0.000780945,0.011047000
01005,36048,0.051848600,0.013550100,0.012562800,0.047064700
01005,36311,0.021081300,0.003252030,0.002512560,0.018848100
01005,36027,0.596543429,0.685094851,0.542713568,0.604412661
01005,36017,0.083248924,0.069918699,0.103015075,0.082321636
01005,36317,0.001456060,0.000542005,0.000000000,0.001330450
01005,36016,0.129653077,0.065040650,0.331658291,0.127501524
01005,36374,0.004368190,0.002710030,0.000000000,0.004102220
01005,36072,0.081792859,0.142547425,0.005025130,0.086312989
01005,36053,0.030007600,0.017344200,0.002512560,0.028105800
01007,35456,0.000291772,0.000000000,0.000000000,0.000271420
01007,35115,0.008655900,0.001626020,0.000000000,0.008142600
01007,36793,0.019548700,0.003252030,0.051282100,0.019089800
01007,35034,0.144329897,0.177235772,0.250000000,0.147652221
01007,35188,0.118264929,0.224390244,0.121794872,0.124219669
01007,35111,0.014491300,0.004878050,0.012820500,0.013932900
01007,36750,0.003695780,0.000000000,0.000000000,0.003437980
01007,36792,0.038611200,0.009756100,0.019230800,0.036732100
01007,35080,0.000486287,0.000000000,0.000000000,0.000452366
01007,35042,0.302178564,0.419512195,0.346153846,0.309327784
01007,35035,0.081501653,0.035772400,0.032051300,0.078259296
01007,35074,0.000000000,0.001626020,0.000000000,0.000090473
01007,35184,0.267943980,0.121951220,0.166666667,0.258391387
01009,35049,0.067344212,0.055712300,0.015283800,0.066013460
01009,35146,0.014242500,0.001410440,0.000000000,0.013427000
01009,35957,0.008193800,0.002115660,0.004366810,0.007851700
01009,35976,0.007138840,0.000705219,0.004366810,0.006795990
01009,35063,0.008967500,0.003526090,0.006550220,0.008676400
01009,35097,0.028133400,0.040197500,0.017467200,0.028536600
01009,35133,0.067484878,0.033850500,0.039301300,0.065485616
01009,35172,0.039914200,0.023977400,0.032751100,0.039060400
01009,35952,0.058798700,0.073342736,0.026200900,0.058986500
01009,35980,0.024898000,0.009873100,0.006550220,0.023917900
01009,35031,0.140561260,0.077574048,0.233624454,0.139020850
01009,35121,0.261464341,0.516220028,0.375545852,0.275105569
01009,35180,0.099592066,0.081805360,0.185589520,0.100059382
01009,35013,0.000000000,0.000705219,0.000000000,0.000032990
01009,35016,0.005908000,0.002115660,0.000000000,0.005641330
01009,35079,0.159023773,0.072637518,0.052401700,0.153371602
01009,35126,0.008334500,0.004231310,0.000000000,0.008016600
01011,36005,0.062754110,0.036170200,0.000000000,0.060242900
01011,36029,0.073360438,0.014893600,0.020833300,0.068502024
01011,36031,0.000000000,0.002127660,0.000000000,0.000161943
01011,36830,0.000353544,0.000000000,0.000000000,0.000323887
01011,36052,0.005126390,0.004255320,0.000000000,0.005020240
01011,36860,0.004065760,0.004255320,0.000000000,0.004048580
01011,36081,0.035354400,0.010638300,0.000000000,0.033198400
01011,36089,0.682870780,0.876595745,0.812500000,0.698623482
01011,36053,0.136114548,0.051063800,0.166666667,0.129878543
01013,36071,0.003072720,0.000000000,0.000000000,0.002730580
01013,36037,0.662512803,0.881662150,0.429362881,0.674529733
01013,36032,0.020314100,0.003613370,0.152354571,0.022527300
01013,36030,0.030897900,0.018066800,0.000000000,0.028974500
01013,36456,0.064953909,0.018970200,0.085872576,0.061665700
01013,36042,0.028678700,0.003613370,0.002770080,0.025864700
01013,36015,0.000000000,0.000903342,0.000000000,0.000075850
01013,36033,0.189057699,0.073170732,0.329639889,0.183176578
01013,36474,0.000512120,0.000000000,0.000000000,0.000455097
01015,36279,0.020366000,0.005532100,0.004261360,0.018728800
01015,35096,0.002492290,0.000436745,0.000000000,0.002260600
01015,36207,0.156321432,0.119959237,0.200284091,0.153852220
01015,36250,0.030600700,0.025622400,0.031960200,0.030176400
01015,36260,0.020543000,0.008152600,0.004971590,0.019136200
01015,36206,0.084590541,0.064638230,0.080965909,0.082722183
01015,36271,0.049580400,0.014412600,0.010653400,0.045685100
01015,36257,0.006134880,0.003348380,0.000710227,0.005782930
01015,36204,0.010721300,0.013684700,0.000710227,0.010803600
01015,36205,0.014673600,0.013102300,0.047585200,0.015140800
01015,36277,0.039331100,0.007133500,0.017045500,0.036011900
01015,36265,0.160804613,0.081088950,0.205965909,0.154443656
01015,36253,0.000000000,0.000291163,0.000000000,0.000026286
01015,36202,0.028742500,0.077158247,0.001420450,0.032607800
01015,35905,0.004955090,0.002911630,0.001420450,0.004705200
01015,36201,0.169358050,0.287086912,0.133522727,0.179323397
01015,36203,0.127785397,0.210947736,0.204545455,0.136713719
01015,36272,0.072999159,0.064347067,0.053977300,0.071866046
01015,36254,0.000000000,0.000145582,0.000000000,0.000013143
01017,36863,0.359341158,0.375945017,0.411924119,0.361350740
01017,36850,0.009268100,0.005498280,0.005420050,0.008949600
01017,36274,0.017478500,0.015120300,0.008130100,0.017161000
01017,36801,0.007706640,0.001374570,0.002710030,0.007196570
01017,36855,0.049715400,0.020618600,0.032520300,0.047469700
01017,36276,0.010074000,0.004811000,0.000000000,0.009549300
01017,36852,0.016068100,0.015120300,0.008130100,0.015869400
01017,36862,0.177101697,0.191065292,0.295392954,0.180052590
01017,36854,0.334760490,0.363573883,0.227642276,0.334871061
01017,36879,0.018485900,0.006872850,0.008130100,0.017530100
01019,36272,0.101245587,0.036756800,0.031914900,0.096738187
01019,35961,0.019383200,0.010810800,0.000000000,0.018665500
01019,35983,0.144741224,0.113513514,0.117021277,0.142626814
01019,35960,0.393259175,0.717837838,0.601063830,0.414299888
01019,35903,0.003397060,0.001081080,0.000000000,0.003224610
01019,35901,0.002730970,0.004324320,0.000000000,0.002790520
01019,35984,0.011523300,0.000000000,0.021276600,0.010976100
01019,35973,0.109838140,0.028108100,0.021276600,0.104117574
01019,35959,0.202158130,0.081081081,0.207446809,0.195274712
01019,36275,0.000000000,0.001081080,0.000000000,0.000062012
01019,35967,0.011723200,0.005405410,0.000000000,0.011224100
01021,36790,0.005588260,0.000716846,0.000000000,0.005277470
01021,36792,0.010792600,0.004301080,0.000000000,0.010355000
01021,35171,0.068381537,0.037276000,0.057142900,0.066568047
01021,36091,0.087065950,0.040143400,0.040000000,0.084119623
01021,36793,0.005119020,0.002867380,0.011428600,0.005037580
01021,35085,0.190470096,0.101075269,0.097142857,0.184831281
01021,35045,0.326849245,0.684587814,0.594285714,0.348672637
01021,35115,0.055413400,0.005017920,0.051428600,0.052574800
01021,36051,0.011859100,0.002150540,0.000000000,0.011234600
01021,35040,0.022353000,0.005734770,0.034285700,0.021509700
01021,36758,0.010835300,0.005017920,0.000000000,0.010435000
01021,35046,0.132198618,0.063799283,0.040000000,0.127738685
01021,36750,0.064286324,0.041577100,0.051428600,0.062929794
01021,36006,0.008787600,0.005734770,0.022857100,0.008715800
01023,36904,0.305807981,0.665297741,0.848484848,0.329594478
01023,36915,0.053075200,0.014373700,0.060606100,0.050782700
01023,36912,0.143158172,0.014373700,0.030303000,0.134968569
01023,36919,0.144343474,0.080082136,0.000000000,0.139898928
01023,36910,0.005531410,0.004106780,0.000000000,0.005423390
01023,36913,0.003687610,0.006160160,0.000000000,0.003821030
01023,36921,0.085868563,0.032854200,0.000000000,0.082336990
01023,36558,0.016725900,0.010266900,0.000000000,0.016270200
01023,36922,0.046358500,0.012320300,0.000000000,0.044126700
01023,36908,0.151982089,0.123203285,0.060606100,0.149882904
