GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALUBE001,NAME_M,ALUBM001
"G10100","2015-2019","US",,,,,,,,,,,,,,,,"Aberdeen, SD Micro Area","10100",,,,,,,,,,,,,,,,,,,"31000US10100",,,"Aberdeen, SD Micro Area",42824,"Aberdeen, SD Micro Area",0
"G10140","2015-2019","US",,,,,,,,,,,,,,,,"Aberdeen, WA Micro Area","10140",,,,,,,,,,,,,,,,,,,"31000US10140",,,"Aberdeen, WA Micro Area",72779,"Aberdeen, WA Micro Area",0
"G10180","2015-2019","US",,,,,,,,,,,,,,,,"Abilene, TX Metro Area","10180",,,,,,,,,,,,,,,,,,,"31000US10180",,,"Abilene, TX Metro Area",170669,"Abilene, TX Metro Area",0
"G10220","2015-2019","US",,,,,,,,,,,,,,,,"Ada, OK Micro Area","10220",,,,,,,,,,,,,,,,,,,"31000US10220",,,"Ada, OK Micro Area",38355,"Ada, OK Micro Area",0
"G10300","2015-2019","US",,,,,,,,,,,,,,,,"Adrian, MI Micro Area","10300",,,,,,,,,,,,,,,,,,,"31000US10300",,,"Adrian, MI Micro Area",98381,"Adrian, MI Micro Area",0
"G10380","2015-2019","PR",,,,,,,,,,,,,,,,"Aguadilla-Isabela, PR Metro Area","10380",,,,,,,,,,,,,,,,,,,"31000US10380",,,"Aguadilla-Isabela, PR Metro Area",301107,"Aguadilla-Isabela, PR Metro Area",0
"G10420","2015-2019","US",,,,,,,,,,,,,,,,"Akron, OH Metro Area","10420",,,,,,,,,,,,,,,,,,,"31000US10420",,,"Akron, OH Metro Area",703845,"Akron, OH Metro Area",0
"G10460","2015-2019","US",,,,,,,,,,,,,,,,"Alamogordo, NM Micro Area","10460",,,,,,,,,,,,,,,,,,,"31000US10460",,,"Alamogordo, NM Micro Area",66137,"Alamogordo, NM Micro Area",0
"G10500","2015-2019","US",,,,,,,,,,,,,,,,"Albany, GA Metro Area","10500",,,,,,,,,,,,,,,,,,,"31000US10500",,,"Albany, GA Metro Area",148436,"Albany, GA Metro Area",0
"G10540","2015-2019","US",,,,,,,,,,,,,,,,"Albany-Lebanon, OR Metro Area","10540",,,,,,,,,,,,,,,,,,,"31000US10540",,,"Albany-Lebanon, OR Metro Area",125048,"Albany-Lebanon, OR Metro Area",0
