GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALUBE001,NAME_M,ALUBM001
"G00601","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,,"86000US00601",,,"ZCTA5 00601",17113,"ZCTA5 00601",283
"G00602","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,,"86000US00602",,,"ZCTA5 00602",37751,"ZCTA5 00602",149
"G00603","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,,"86000US00603",,,"ZCTA5 00603",47081,"ZCTA5 00603",828
"G00606","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,,"86000US00606",,,"ZCTA5 00606",6392,"ZCTA5 00606",365
"G00610","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,,"86000US00610",,,"ZCTA5 00610",26686,"ZCTA5 00610",205
"G00612","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,,"86000US00612",,,"ZCTA5 00612",59369,"ZCTA5 00612",1349
"G00616","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,,"86000US00616",,,"ZCTA5 00616",10022,"ZCTA5 00616",1075
"G00617","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,,"86000US00617",,,"ZCTA5 00617",23750,"ZCTA5 00617",326
"G00622","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,,"86000US00622",,,"ZCTA5 00622",6741,"ZCTA5 00622",1266
"G00623","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,,"86000US00623",,,"ZCTA5 00623",41746,"ZCTA5 00623",1266
"G00624","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,,"86000US00624",,,"ZCTA5 00624",21936,"ZCTA5 00624",407
"G00627","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,,"86000US00627",,,"ZCTA5 00627",31598,"ZCTA5 00627",0
"G00631","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,,"86000US00631",,,"ZCTA5 00631",1499,"ZCTA5 00631",306
"G00637","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,,"86000US00637",,,"ZCTA5 00637",22383,"ZCTA5 00637",198
"G00638","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,,"86000US00638",,,"ZCTA5 00638",16412,"ZCTA5 00638",310
"G00641","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,,"86000US00641",,,"ZCTA5 00641",26712,"ZCTA5 00641",468
"G00646","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,,"86000US00646",,,"ZCTA5 00646",37095,"ZCTA5 00646",200
"G00647","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,,"86000US00647",,,"ZCTA5 00647",5809,"ZCTA5 00647",639
"G00650","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,,"86000US00650",,,"ZCTA5 00650",14534,"ZCTA5 00650",602
"G00652","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,,"86000US00652",,,"ZCTA5 00652",3565,"ZCTA5 00652",596
"G00653","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,,"86000US00653",,,"ZCTA5 00653",10484,"ZCTA5 00653",639
"G00656","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,,,,"86000US00656",,,"ZCTA5 00656",18485,"ZCTA5 00656",45
"G00659","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,,,,"86000US00659",,,"ZCTA5 00659",39950,"ZCTA5 00659",0
"G00660","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,,,,"86000US00660",,,"ZCTA5 00660",15943,"ZCTA5 00660",0
"G00662","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,,,,"86000US00662",,,"ZCTA5 00662",39700,"ZCTA5 00662",568
"G00664","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,,,,"86000US00664",,,"ZCTA5 00664",14693,"ZCTA5 00664",168
