MetroShort,post_pct_change,pre_pct_change,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState
"Abilene, TX",8.338001006799441,2.1031068113596176,175821,181482,4120.11506023166,4100.407825868726,6262,42.87890557880056,44.25949995877559,10180,"Abilene, TX",Abilene,TX,0.27246296,0.30905688,0.32867125,0.3575404,TX
"Akron, OH",10.199219312958608,4.858481823717864,900018,903486,1281.2687613899614,1255.736540926641,35583,716.725181331311,719.4869071288583,10420,"Akron, OH",Akron,OH,0.31823412,0.39422074,0.36687246,0.44169754,OH
"Albany, GA",3.0125359217772716,0.8864451914658101,189181,183695,3117.818735907336,3079.036891891892,5273,61.44161523305396,59.65988926073891,10500,"Albany, GA",Albany,GA,0.27158603,0.31853243999999997,0.31485352,0.36687845,GA
"Albany, NY",9.471247337716456,1.9924161543275782,932389,941115,3459.153245559846,3395.5572884169883,36791,274.5908611763345,277.1606897078001,10580,"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,NY,0.36932078,0.44743568,0.424283,0.49190852,NY
"Albany, OR",11.45857500859747,5.327818912932845,168645,183015,2363.3616451737453,2345.6535996138996,6446,71.8968052349074,78.02302950023171,10540,"Albany, OR",Albany,OR,0.22239512,0.24164519,0.27380314,0.29124367,OR
"Albuquerque, NM",12.643814289805578,6.325764043025439,902666,928672,11753.961532818532,11738.836901930503,33175,76.89569312029138,79.11107444105266,10740,"Albuquerque, NM",Albuquerque,NM,0.3213281,0.41661993,0.35720241,0.44349107,NM
"Alexandria, LA",-0.030748652824648122,-1.1288122251051813,183492,182074,3301.73151003861,3210.5124343629345,5789,57.1534930175128,56.71181897668904,10780,"Alexandria, LA",Alexandria,LA,0.25201264,0.28886458,0.30110911,0.33358815000000003,LA
"Allentown, PA",12.698959448352841,2.705259755427153,1003571,1016995,2144.4967822393824,2111.092347876448,35928,475.37996194694847,481.73875530504256,10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,PA-NJ,0.26702428,0.33526921,0.32324323,0.38200048,PA
"Altoona, PA",4.432009138845889,2.9978991506382027,143137,138425,727.0263648648648,725.4472216216217,5155,197.3086335351041,190.81332986646908,11020,"Altoona, PA",Altoona,PA,0.22866811,0.27055547,0.28467274,0.32292062,PA
"Amarillo, TX",7.721662956940014,2.3451137747140627,259360,271383,4416.158123938224,4382.724571428572,10200,59.177800423689476,61.921071145828655,11100,"Amarillo, TX",Amarillo,TX,0.27327612,0.32389587,0.32019514,0.36323431,TX
"Ames, IA",4.075866008927365,2.6271531329217885,99628,109309,901.3906247104247,895.118032046332,3625,111.30152274135304,122.11685619840365,11180,"Ames, IA",Ames,IA,0.30733138,0.40163776,0.36483634,0.45461854,IA
"Anchorage, AK",-2.596919424632497,6.912711300894283,382192,400072,16546.50408030888,16210.489195752896,18984,23.57683320871854,24.679822747410842,11260,"Anchorage, AK",Anchorage,AK,0.31688967,0.39055315,0.37114996,0.44523495,AK
"Ann Arbor, MI",5.331465635372576,0.8208475808870996,518465,545756,1092.2275621621623,1062.044932046332,21119,488.1761443002506,513.8727972162587,11460,"Ann Arbor, MI",Ann Arbor,MI,0.39217666,0.47228894,0.4488267,0.4869498,MI
"Anniston, AL",8.256492131243686,5.269058854600087,142430,139020,904.7189733590734,891.5877745173746,3727,159.74871355442127,155.9240760958762,11500,"Anniston-Oxford-Jacksonville, AL",Anniston-Oxford-Jacksonville,AL,0.20440839,0.24566156,0.24739432,0.283943,AL
"Appleton, WI",8.680821441002436,6.12102770694495,417537,439183,1846.101988030888,1822.5607714285713,16526,229.09359542108626,240.97029129830153,11540,"Appleton, WI",Appleton,WI,0.29332155,0.35994455,0.32069758,0.38529652,WI
"Asheville, NC",10.976061434954723,3.4294490866870233,428985,458603,2103.551106949807,2094.9866706563707,22727,204.76741260869056,218.9049727253478,11700,"Asheville, NC",Asheville,NC,0.22882566,0.26964962,0.27794152,0.31634319,NC
"Athens, GA",6.712972150558974,7.282271985622739,265878,291286,1585.5511046332047,1570.0734583011583,9763,169.34112133051644,185.52380365385935,12020,"Athens-Clarke County, GA",Athens-Clarke County,GA,0.27503628,0.33523348,0.34712631,0.40519637,GA
"Atlanta, GA",10.30532305123944,4.9455697747294005,5430554,6009615,10367.38131158301,10192.647372972973,268859,532.7913152769088,589.6029539818296,12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta-Sandy Springs-Roswell,GA,0.35666603,0.49576303,0.40385821,0.53915775,GA
"Atlantic City, NJ",14.638438463048068,3.2880250326981346,372075,361497,865.0731150579151,810.7232498069499,14237,458.9420620274537,445.89445299130125,12100,"Atlantic City-Hammonton, NJ",Atlantic City-Hammonton,NJ,0.23016249,0.30331406,0.31230041,0.36562926,NJ
"Auburn, AL",7.780169614192663,3.2294931598903225,174533,194248,728.228113899614,719.6475193050193,6055,242.52567446984418,269.92103048946785,12220,"Auburn-Opelika, AL",Auburn-Opelika,AL,0.22107916,0.28251991,0.28019658,0.33848035,AL
"Augusta, GA",10.7777337930576,3.155466587936813,607613,642385,4687.245382239382,4594.418318532818,18440,132.25025626182753,139.8185701569158,12260,"Augusta-Richmond County, GA-SC",Augusta-Richmond County,GA-SC,0.26595157,0.33461559,0.30150679,0.35787222,GA
