MsaName,category,type,date,zori
"Albuquerque, NM Metro Area",cbd,city center,2018-01-15,89.86232790988737
"Albuquerque, NM Metro Area",cbd,city center,2018-02-15,88.11013767209012
"Albuquerque, NM Metro Area",cbd,city center,2018-03-15,87.2340425531915
"Albuquerque, NM Metro Area",cbd,city center,2018-04-15,90.23779724655819
"Albuquerque, NM Metro Area",cbd,city center,2018-05-15,88.48560700876095
"Albuquerque, NM Metro Area",cbd,city center,2018-06-15,90.11264080100125
"Albuquerque, NM Metro Area",cbd,city center,2018-07-15,89.98748435544431
"Albuquerque, NM Metro Area",cbd,city center,2018-08-15,91.6145181476846
"Albuquerque, NM Metro Area",cbd,city center,2018-09-15,89.11138923654568
"Albuquerque, NM Metro Area",cbd,city center,2018-10-15,92.99123904881101
"Albuquerque, NM Metro Area",cbd,city center,2018-11-15,90.23779724655819
"Albuquerque, NM Metro Area",cbd,city center,2018-12-15,89.73717146433042
"Albuquerque, NM Metro Area",cbd,city center,2019-01-15,90.98873591989988
"Albuquerque, NM Metro Area",cbd,city center,2019-02-15,94.24280350438048
"Albuquerque, NM Metro Area",cbd,city center,2019-03-15,90.36295369211514
"Albuquerque, NM Metro Area",cbd,city center,2019-04-15,91.6145181476846
"Albuquerque, NM Metro Area",cbd,city center,2019-05-15,91.8648310387985
"Albuquerque, NM Metro Area",cbd,city center,2019-06-15,92.86608260325406
"Albuquerque, NM Metro Area",cbd,city center,2019-07-15,94.24280350438048
"Albuquerque, NM Metro Area",cbd,city center,2019-08-15,90.11264080100125
"Albuquerque, NM Metro Area",cbd,city center,2019-09-15,91.6145181476846
"Albuquerque, NM Metro Area",cbd,city center,2019-10-15,93.2415519399249
"Albuquerque, NM Metro Area",cbd,city center,2019-11-15,89.11138923654568
"Albuquerque, NM Metro Area",cbd,city center,2019-12-15,92.74092615769712
"Albuquerque, NM Metro Area",cbd,city center,2020-01-15,99.12390488110138
"Albuquerque, NM Metro Area",cbd,city center,2020-02-15,100
"Albuquerque, NM Metro Area",cbd,city center,2020-03-15,101.50187734668334
"Albuquerque, NM Metro Area",cbd,city center,2020-04-15,102.50312891113893
"Albuquerque, NM Metro Area",cbd,city center,2020-05-15,93.4918648310388
"Albuquerque, NM Metro Area",cbd,city center,2020-06-15,96.99624530663328
"Albuquerque, NM Metro Area",cbd,city center,2020-07-15,99.62453066332915
"Albuquerque, NM Metro Area",cbd,city center,2020-08-15,100
"Albuquerque, NM Metro Area",cbd,city center,2020-09-15,100.62578222778473
"Albuquerque, NM Metro Area",cbd,city center,2020-10-15,101.6270337922403
"Albuquerque, NM Metro Area",cbd,city center,2020-11-15,100.25031289111391
"Albuquerque, NM Metro Area",cbd,city center,2020-12-15,100.12515644555695
"Albuquerque, NM Metro Area",cbd,city center,2021-01-15,105.00625782227783
"Albuquerque, NM Metro Area",cbd,city center,2021-02-15,103.50438047559449
"Albuquerque, NM Metro Area",cbd,city center,2021-03-15,97.24655819774718
"Albuquerque, NM Metro Area",cbd,city center,2021-04-15,100.25031289111391
"Albuquerque, NM Metro Area",cbd,city center,2021-05-15,114.51814768460575
"Albuquerque, NM Metro Area",cbd,city center,2021-06-15,115.39424280350438
"Albuquerque, NM Metro Area",cbd,city center,2021-07-15,116.270337922403
"Albuquerque, NM Metro Area",cbd,city center,2021-08-15,114.14267834793492
"Albuquerque, NM Metro Area",cbd,city center,2021-09-15,114.3929912390488
"Albuquerque, NM Metro Area",cbd,city center,2021-10-15,109.01126408010013
"Albuquerque, NM Metro Area",cbd,city center,2021-11-15,117.77221526908636
"Albuquerque, NM Metro Area",high,high density,2018-01-15,93.61324251827511
"Albuquerque, NM Metro Area",high,high density,2018-02-15,93.7162040568546
"Albuquerque, NM Metro Area",high,high density,2018-03-15,94.35141498066734
"Albuquerque, NM Metro Area",high,high density,2018-04-15,93.21654027421383
"Albuquerque, NM Metro Area",high,high density,2018-05-15,93.94599189043814
"Albuquerque, NM Metro Area",high,high density,2018-06-15,94.06203469826951
"Albuquerque, NM Metro Area",high,high density,2018-07-15,93.91049933912295
"Albuquerque, NM Metro Area",high,high density,2018-08-15,94.86476919920342
"Albuquerque, NM Metro Area",high,high density,2018-09-15,94.2324652241133
"Albuquerque, NM Metro Area",high,high density,2018-10-15,95.38975121263009
"Albuquerque, NM Metro Area",high,high density,2018-11-15,95.55146089230593
"Albuquerque, NM Metro Area",high,high density,2018-12-15,95.55291436666725
"Albuquerque, NM Metro Area",high,high density,2019-01-15,96.1808579186734
"Albuquerque, NM Metro Area",high,high density,2019-02-15,96.0278690851655
"Albuquerque, NM Metro Area",high,high density,2019-03-15,95.17510728930317
"Albuquerque, NM Metro Area",high,high density,2019-04-15,93.3195018127933
"Albuquerque, NM Metro Area",high,high density,2019-05-15,96.37224625221911
"Albuquerque, NM Metro Area",high,high density,2019-06-15,96.36933930349646
"Albuquerque, NM Metro Area",high,high density,2019-07-15,97.95591313866706
"Albuquerque, NM Metro Area",high,high density,2019-08-15,98.27497207493475
"Albuquerque, NM Metro Area",high,high density,2019-09-15,98.3264528442245
"Albuquerque, NM Metro Area",high,high density,2019-10-15,98.2720651262121
"Albuquerque, NM Metro Area",high,high density,2019-11-15,98.58531016503453
"Albuquerque, NM Metro Area",high,high density,2019-12-15,97.58682690747092
"Albuquerque, NM Metro Area",high,high density,2020-01-15,99.48519230710261
"Albuquerque, NM Metro Area",high,high density,2020-02-15,100
"Albuquerque, NM Metro Area",high,high density,2020-03-15,100.82950620608113
"Albuquerque, NM Metro Area",high,high density,2020-04-15,99.39592120441844
"Albuquerque, NM Metro Area",high,high density,2020-05-15,100.7047425520818
"Albuquerque, NM Metro Area",high,high density,2020-06-15,101.8576681175146
"Albuquerque, NM Metro Area",high,high density,2020-07-15,101.91786973297228
"Albuquerque, NM Metro Area",high,high density,2020-08-15,103.76475436331421
"Albuquerque, NM Metro Area",high,high density,2020-09-15,110.4554268710502
"Albuquerque, NM Metro Area",high,high density,2020-10-15,108.39389831738136
"Albuquerque, NM Metro Area",high,high density,2020-11-15,108.07629285547497
"Albuquerque, NM Metro Area",high,high density,2020-12-15,105.96764395560037
"Albuquerque, NM Metro Area",high,high density,2021-01-15,105.57675560898439
"Albuquerque, NM Metro Area",high,high density,2021-02-15,106.64706827689625
"Albuquerque, NM Metro Area",high,high density,2021-03-15,110.84692438430956
"Albuquerque, NM Metro Area",high,high density,2021-04-15,113.3014039255991
"Albuquerque, NM Metro Area",high,high density,2021-05-15,115.25125009452053
"Albuquerque, NM Metro Area",high,high density,2021-06-15,114.36299574734304
"Albuquerque, NM Metro Area",high,high density,2021-07-15,112.40297525789234
"Albuquerque, NM Metro Area",high,high density,2021-08-15,116.4571099036044
"Albuquerque, NM Metro Area",high,high density,2021-09-15,120.5141514980391
"Albuquerque, NM Metro Area",high,high density,2021-10-15,120.83321043430679
"Albuquerque, NM Metro Area",high,high density,2021-11-15,122.62425387227502
"Albuquerque, NM Metro Area",mid,mid density,2018-01-15,90.96351256434374
"Albuquerque, NM Metro Area",mid,mid density,2018-02-15,91.11320686602986
"Albuquerque, NM Metro Area",mid,mid density,2018-03-15,91.75652748398139
"Albuquerque, NM Metro Area",mid,mid density,2018-04-15,91.97996789623782
"Albuquerque, NM Metro Area",mid,mid density,2018-05-15,92.02384720128704
"Albuquerque, NM Metro Area",mid,mid density,2018-06-15,92.44972345721007
"Albuquerque, NM Metro Area",mid,mid density,2018-07-15,92.69128484138184
"Albuquerque, NM Metro Area",mid,mid density,2018-08-15,93.01535207887017
"Albuquerque, NM Metro Area",mid,mid density,2018-09-15,92.934761322381
"Albuquerque, NM Metro Area",mid,mid density,2018-10-15,93.4221618891216
"Albuquerque, NM Metro Area",mid,mid density,2018-11-15,93.01087490822276
"Albuquerque, NM Metro Area",mid,mid density,2018-12-15,93.14794304953571
"Albuquerque, NM Metro Area",mid,mid density,2019-01-15,93.60090585090836
"Albuquerque, NM Metro Area",mid,mid density,2019-02-15,94.34934001214272
"Albuquerque, NM Metro Area",mid,mid density,2019-03-15,94.64834250728362
"Albuquerque, NM Metro Area",mid,mid density,2019-04-15,95.11270547009273
"Albuquerque, NM Metro Area",mid,mid density,2019-05-15,96.07203672097637
"Albuquerque, NM Metro Area",mid,mid density,2019-06-15,97.12517205403996
"Albuquerque, NM Metro Area",mid,mid density,2019-07-15,98.29750363141109
"Albuquerque, NM Metro Area",mid,mid density,2019-08-15,98.65518755756312
"Albuquerque, NM Metro Area",mid,mid density,2019-09-15,97.95263400564313
"Albuquerque, NM Metro Area",mid,mid density,2019-10-15,98.31464150156802
"Albuquerque, NM Metro Area",mid,mid density,2019-11-15,98.67110448329109
"Albuquerque, NM Metro Area",mid,mid density,2019-12-15,97.98254124722628
"Albuquerque, NM Metro Area",mid,mid density,2020-01-15,98.39662589816777
"Albuquerque, NM Metro Area",mid,mid density,2020-02-15,100
"Albuquerque, NM Metro Area",mid,mid density,2020-03-15,100.04079184322859
"Albuquerque, NM Metro Area",mid,mid density,2020-04-15,99.37756643333299
"Albuquerque, NM Metro Area",mid,mid density,2020-05-15,99.77602409072746
"Albuquerque, NM Metro Area",mid,mid density,2020-06-15,101.4676984774059
"Albuquerque, NM Metro Area",mid,mid density,2020-07-15,101.92153598942623
"Albuquerque, NM Metro Area",mid,mid density,2020-08-15,102.39581252677976
"Albuquerque, NM Metro Area",mid,mid density,2020-09-15,103.58947216123708
"Albuquerque, NM Metro Area",mid,mid density,2020-10-15,104.21243209872561
"Albuquerque, NM Metro Area",mid,mid density,2020-11-15,105.79263465217083
"Albuquerque, NM Metro Area",mid,mid density,2020-12-15,106.52141576402798
"Albuquerque, NM Metro Area",mid,mid density,2021-01-15,106.86341386777886
"Albuquerque, NM Metro Area",mid,mid density,2021-02-15,108.57676029887686
"Albuquerque, NM Metro Area",mid,mid density,2021-03-15,108.43365805812483
"Albuquerque, NM Metro Area",mid,mid density,2021-04-15,109.02650197477932
"Albuquerque, NM Metro Area",mid,mid density,2021-05-15,111.78713342701994
"Albuquerque, NM Metro Area",mid,mid density,2021-06-15,114.46142422707113
"Albuquerque, NM Metro Area",mid,mid density,2021-07-15,118.67489519562409
"Albuquerque, NM Metro Area",mid,mid density,2021-08-15,121.97745962484477
"Albuquerque, NM Metro Area",mid,mid density,2021-09-15,122.95105907718771
"Albuquerque, NM Metro Area",mid,mid density,2021-10-15,123.52372093406719
"Albuquerque, NM Metro Area",mid,mid density,2021-11-15,123.34406154476471
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",high,high density,2018-01-15,87.73800456968773
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",high,high density,2018-02-15,86.74790555978676
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",high,high density,2018-03-15,87.43335872048743
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",high,high density,2018-04-15,88.04265041888804
