zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,dist_to_cbd
1431,29.077708989004957,3.5388939081744524,017,25,3074,24.089480308880308,23.702596525096524,129.69043272306564,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",3220,25,0.39406034713035204,0.3594602289293546,60,135.85009543535176,42.676293,-71.832523,-71.058701,42.3549,72879.88605015136
1432,25.329422300199205,2.002866521799436,017,25,7089,8.921961003861004,8.450989189189189,838.836713821443,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7699,259,0.4336212166130317,0.3887579480030293,331,911.0176131628283,42.566573,-71.575135,-71.058701,42.3549,48518.051269558055
1434,26.29526786605035,-2.532853855277645,017,25,1795,5.436077992277992,5.28116138996139,339.8873595137608,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1969,428,0.46066501941397253,0.4186430800061122,57,372.83465787331204,42.539088,-71.611613,-71.058701,42.3549,49831.353528640335
1450,26.342296028686025,2.2356266413156844,017,25,10646,33.75663088803089,32.7620583011583,324.9490585157652,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",11313,28,0.46360310845377134,0.4202203838977569,336,345.3079747312467,42.61176,-71.565269,-71.058701,42.3549,50468.17806923549
1460,28.038428763368252,0.7578370009592488,017,25,8924,17.5192,16.521879922779924,540.1322392917182,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10071,23,0.4899759971321589,0.44746009973953077,495,609.5553319035067,42.535931,-71.490569,-71.058701,42.3549,40799.98185287272
1463,23.462472755006722,2.856438376723967,017,25,11497,23.196796138996138,22.599771042471044,508.7219679524207,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",12105,24,0.42623986059942615,0.3791544548946974,354,535.6248953695792,42.670643,-71.602858,-71.058701,42.3549,56825.632012674876
1464,25.211676066395604,1.71405426390269,017,25,7211,15.092241312741313,15.013463706563707,480.30222345343515,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7633,20,0.4278096293961768,0.3815350570157641,148,508.4103275024366,42.573654,-71.640986,-71.058701,42.3549,53660.800810594636
1469,28.01095764448957,4.445716776676415,017,25,6801,23.115127027027025,22.880875675675675,297.23512755370825,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7670,291,0.410704508555882,0.36449121792420486,184,335.2144432196651,42.665059,-71.695333,-71.058701,42.3549,62620.31833070175
1474,28.61796290928212,4.921473733761942,017,25,2125,9.949376447876448,9.91918918918919,214.23121985776953,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1803,288,0.41100476725870344,0.3649636547138688,15,181.76888913108633,42.669685,-71.752751,-71.058701,42.3549,66868.39204064957
1701,25.807204759937076,1.6484642040878053,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.473069644432326,0.43178328969265384,2258,1921.722109403978,42.320169,-71.440409,-71.058701,42.3549,31646.352617575754
1702,24.212305837585877,3.8873997690788893,017,25,37206,8.853264092664093,8.09170193050193,4598.043813224359,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39799,780,0.43755220562360425,0.3912978661803779,1691,4918.495557773376,42.282576,-71.43676,-71.058701,42.3549,32142.960393694404
1719,24.1918418869116,1.674054754807107,017,25,4996,10.407865250965251,10.285744401544402,485.7208000667265,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",5561,20,0.5144614241197826,0.46862115834231743,168,540.6511947900452,42.485985,-71.520985,-71.058701,42.3549,40695.53579133568
1720,25.648585068271384,-0.8345383575755858,017,25,21361,20.143181853281853,19.713133204633206,1083.5923330026246,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",22791,304,0.5224370272459451,0.48143543418891727,1306,1156.132805648744,42.483953,-71.438495,-71.058701,42.3549,34358.62029565779
1721,23.533774965429426,1.3326670669638,017,25,16593,12.868427027027026,12.329492277992278,1345.79750940904,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17710,24,0.4710792702402696,0.42687671349877376,693,1436.3932918480143,42.257755,-71.473526,-71.058701,42.3549,35822.557799277405
