zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,dist_to_cbd,pp_growth
1013,39.88543073944745,9.786917201398396,013,25,23188,6.293023938223938,5.624332818532818,4122.800116592121,44140,"Springfield, MA Metro Area","Springfield, MA",22733,1045,0.3591827708033058,0.3175477621066106,534,4041.901632330891,42.154904,-72.602804,-72.594101,42.103298,5789.511681267801,30.098513538049055
1040,55.31600705052241,25.747585359653947,013,25,39880,22.83489806949807,21.280594980694982,1874.007753832905,44140,"Springfield, MA Metro Area","Springfield, MA",40241,59,0.3561140621477811,0.32323907365107674,1535,1890.971565245485,42.211656,-72.642448,-72.594101,42.103298,12705.033539507145,29.568421690868462
1060,44.826441169611115,14.216930301695754,015,25,15284,12.177092277992278,10.91775057915058,1399.9220708693936,44140,"Springfield, MA Metro Area","Springfield, MA",15948,532,0.411162199824663,0.39792054656395814,1315,1460.7404597111415,42.321488,-72.630588,-72.594101,42.103298,24474.392752226875,30.60951086791536
1075,41.21440107440021,31.84033945542555,015,25,17527,18.402529343629343,17.717752895752895,989.2337986157025,44140,"Springfield, MA Metro Area","Springfield, MA",17703,38,0.41122820075933625,0.3909146350624715,509,999.1673382149702,42.256346,-72.580763,-72.594101,42.103298,17072.717108038825,9.374061618974658
1085,28.83325896161601,30.171067520212734,013,25,41117,61.089977992277994,59.94535405405406,685.9080348899747,44140,"Springfield, MA Metro Area","Springfield, MA",41780,185,0.3799967339299584,0.33702140450341245,1506,696.9681080259538,42.153503,-72.771602,-72.594101,42.103298,15683.91157332108,-1.3378085585967234
1108,50.79138387767011,17.576941229761907,013,25,26688,3.880175675675676,3.7232640926640928,7167.904112035211,44140,"Springfield, MA Metro Area","Springfield, MA",27054,1299,0.35106110816284386,0.3140495359372109,400,7266.204955298284,42.080692,-72.560791,-72.594101,42.103298,3728.8328951188173,33.2144426479082
1109,61.551541533230115,20.858547848684186,013,25,30250,5.630430115830116,5.442065250965251,5558.551506642557,44140,"Springfield, MA Metro Area","Springfield, MA",30383,1351,0.3481249722551054,0.3139234946759642,474,5582.990757894903,42.119674,-72.549726,-72.594101,42.103298,4092.9376742018476,40.692993684545925
1201,44.67257189383464,19.427084731852748,003,25,46504,55.525465250965254,52.91815328185328,878.7910597013819,38340,"Pittsfield, MA Metro Area","Pittsfield, MA",44458,304,0.3722000193606325,0.3360589677541661,2358,840.1275789653371,42.448236,-73.273727,-73.252602,42.451801,1779.9883087444182,25.245487161981895
1247,179.4873405739506,81.70333533031095,003,25,16087,53.09483359073359,52.523362934362936,306.2827492615715,38340,"Pittsfield, MA Metro Area","Pittsfield, MA",15466,147,0.37040503999744334,0.34319960902517954,474,294.4594393037524,42.698437,-73.08409,-73.252602,42.451801,30734.61033541937,97.78400524363965
1420,49.51748792142421,20.74824774589127,027,25,40337,31.003525482625484,30.316701158301157,1330.5207512313766,49340,"Worcester, MA-CT Metro Area","Worcester, MA",40702,34,0.3714893029274795,0.3239726846849565,1324,1342.5603197218309,42.584925,-71.816862,-71.800301,42.263802,35773.142460058734,28.769240175532943
1440,62.166328639428414,66.94412718093982,027,25,20347,25.002576833976836,24.04200579150579,846.3104192075662,49340,"Worcester, MA-CT Metro Area","Worcester, MA",20610,26,0.3787121664244551,0.3340684421427732,677,857.2496063236811,42.586516,-71.988062,-71.800301,42.263802,39097.30193546794,-4.777798541511402
1453,25.2042865030623,19.272812911873046,027,25,40883,28.9983583011583,28.46944362934363,1436.0308733909237,49340,"Worcester, MA-CT Metro Area","Worcester, MA",41647,75,0.379555154749542,0.3328456466978286,2087,1462.8666630167013,42.51996,-71.763075,-71.800301,42.263802,28679.14987414137,5.931473591189253
1460,39.73945298175141,10.319670972058875,017,25,8924,17.5192,16.521879922779924,540.1322392917182,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10071,23,0.4899759971321589,0.44746009973953077,495,609.5553319035067,42.535931,-71.490569,-71.058701,42.3549,40799.98185287272,29.41978200969254
1503,25.553672007853855,4.632494487733739,027,25,2866,13.17458918918919,12.972278764478764,220.93265586057254,49340,"Worcester, MA-CT Metro Area","Worcester, MA",3182,28,0.4436900252020764,0.3979727717073371,104,245.29229272447378,42.384929,-71.633889,-71.800301,42.263802,19219.801307934442,20.921177520120118
1545,27.76685714951767,9.358555264488544,027,25,35299,21.78691776061776,20.738427027027026,1702.105948247528,49340,"Worcester, MA-CT Metro Area","Worcester, MA",37086,196,0.452792838091204,0.41349614107071075,1505,1788.2744892690396,42.284767,-71.714228,-71.800301,42.263802,7463.990706401712,18.408301885029125
1581,26.360219825110814,4.552666778849117,027,25,18272,21.44485328185328,20.58412277992278,887.6744564418376,49340,"Worcester, MA-CT Metro Area","Worcester, MA",19037,37,0.4782537256808629,0.43596502246391544,1759,924.8390229467634,42.268426,-71.613309,-71.800301,42.263802,15412.930415287554,21.807553046261695
1602,25.327154827832114,14.15229799162897,027,25,22819,6.010993436293436,5.7671370656370655,3956.729264501936,49340,"Worcester, MA-CT Metro Area","Worcester, MA",22900,931,0.39475099581409134,0.3628836792846268,546,3970.7743615887784,42.271563,-71.849991,-71.800301,42.263802,4183.523301902052,11.174856836203144
1603,35.824053296016615,25.349907841402754,027,25,19916,4.645631274131274,4.514204247104247,4411.8517705032145,49340,"Worcester, MA-CT Metro Area","Worcester, MA",19731,1226,0.3736856031561013,0.3329266703593977,681,4370.870018266666,42.244637,-71.843925,-71.800301,42.263802,4179.871437478955,10.474145454613861
1604,24.934455545408778,16.483975862610396,027,25,34677,6.622367181467181,6.439288030888031,5385.222688232157,49340,"Worcester, MA-CT Metro Area","Worcester, MA",38191,1500,0.3795089486792369,0.34223458203911544,1264,5930.935192960012,42.253254,-71.767957,-71.800301,42.263802,2912.034116132573,8.450479682798381
1605,49.30064549993182,22.81956562874799,027,25,26221,5.77371776061776,5.641938223938224,4647.516324930095,49340,"Worcester, MA-CT Metro Area","Worcester, MA",28533,1128,0.3776493392147405,0.34083913040125347,1020,5057.304576455146,42.289683,-71.787793,-71.800301,42.263802,3059.7190988812677,26.481079871183827
1606,38.43478284879563,20.113546537327505,027,25,19077,5.939033204633205,5.9297517374517374,3217.1667288381595,49340,"Worcester, MA-CT Metro Area","Worcester, MA",19896,957,0.39288197081458753,0.35845895401636924,723,3355.2838096642045,42.315249,-71.795741,-71.800301,42.263802,5739.351418489133,18.321236311468123
1608,22.909591792496677,37.90396368817697,027,25,3888,0.4475328185328185,0.4475328185328185,8687.631027253668,49340,"Worcester, MA-CT Metro Area","Worcester, MA",4471,691,0.3677172795199554,0.3268115714236068,899,9990.328786741553,42.26198,-71.801462,-71.800301,42.263802,224.2456160077968,-14.994371895680295
1609,43.978001451723635,21.570806395874868,027,25,22421,3.8418629343629345,3.8198702702702705,5869.5710622689885,49340,"Worcester, MA-CT Metro Area","Worcester, MA",21628,1188,0.3917144298209279,0.35626491344016076,934,5661.972389043918,42.285114,-71.829987,-71.800301,42.263802,3406.974063787625,22.407195055848767
1610,49.50032790494873,34.738788877144934,027,25,23945,2.129337837837838,2.1258505791505793,11263.726733591804,49340,"Worcester, MA-CT Metro Area","Worcester, MA",22023,1128,0.3656893049271979,0.3241681357580246,554,10359.618035242944,42.247049,-71.808366,-71.800301,42.263802,1979.7854439412395,14.7615390278038
1702,23.346259738734794,9.71659676830079,017,25,37206,8.853264092664093,8.09170193050193,4598.043813224359,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39799,780,0.43755220562360425,0.3912978661803779,1691,4918.495557773376,42.282576,-71.43676,-71.058701,42.3549,32142.960393694404,13.629662970434005
1720,14.714955276848023,23.28072604938109,017,25,21361,20.143181853281853,19.713133204633206,1083.5923330026246,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",22791,304,0.5224370272459451,0.48143543418891727,1306,1156.132805648744,42.483953,-71.438495,-71.058701,42.3549,34358.62029565779,-8.565770772533067
1721,26.332430993098814,21.01206909963687,017,25,16593,12.868427027027026,12.329492277992278,1345.79750940904,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17710,24,0.4710792702402696,0.42687671349877376,693,1436.3932918480143,42.257755,-71.473526,-71.058701,42.3549,35822.557799277405,5.320361893461943
1730,27.682530856053916,32.101306668412185,017,25,13221,13.876010038610039,13.69808725868726,965.1712498484274,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14070,52,0.5058734993989608,0.4637420308552543,905,1027.1507061014577,42.499331,-71.281905,-71.058701,42.3549,24390.005865717998,-4.41877581235827
1742,31.068453243832504,20.900958102175704,017,25,17726,25.745458687258687,24.438667953667952,725.3259479447013,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19121,104,0.5152672869789822,0.4767179297366091,1470,782.4076187888205,42.462911,-71.364496,-71.058701,42.3549,27862.055947691584,10.1674951416568
1748,38.413828122660824,11.82718705523608,017,25,14925,27.888745945945946,26.261311196911198,568.3265351105335,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17598,30,0.48588025480175223,0.4396035357374218,787,670.1112472278171,42.224104,-71.540484,-71.058701,42.3549,42261.66447509179,26.586641067424743
1749,26.830939010002787,16.291937518830466,017,25,19063,11.86549111969112,11.521755598455599,1654.522163493491,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19887,23,0.4394591733679706,0.39078450910668194,904,1726.0390424064972,42.389071,-71.545864,-71.058701,42.3549,40244.96835499293,10.539001491172321
1752,21.11711248083448,16.08211664869095,017,25,38499,22.10125057915058,20.86536718146718,1845.1149057273806,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39736,24,0.44190825537981543,0.3940056084353271,2785,1904.399747889119,42.349617,-71.547214,-71.058701,42.3549,40192.741529544925,5.0349958321435295
1754,50.923479501710545,44.03568250253522,017,25,10106,5.370381853281853,5.213210038610039,1938.5368947640734,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10754,29,0.4760759088362965,0.43866599929467076,410,2062.836509627236,42.425955,-71.456256,-71.058701,42.3549,33629.20019301081,6.887796999175329
1757,26.833152031863587,12.789576826127872,027,25,28061,15.154354054054053,14.879599227799227,1885.8706857893224,49340,"Worcester, MA-CT Metro Area","Worcester, MA",28883,35,0.43581618287067114,0.3916889293772308,1596,1941.1141091783256,42.158692,-71.521419,-71.800301,42.263802,25800.00288322676,14.043575205735715
1760,13.623317838870111,13.463547348400526,017,25,32786,15.814033976833977,14.810542857142858,2213.693334285036,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35761,197,0.4882511617157669,0.4499430592656589,2480,2414.56375670613,42.284822,-71.348811,-71.058701,42.3549,25120.736916212853,0.1597704904695849
1801,19.987478027671443,7.194893418388807,017,25,38903,12.963816602316601,12.652292664092665,3074.778700812629,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",40359,91,0.4379718751304532,0.39457297427848703,4071,3189.856658512117,42.488659,-71.154425,-71.058701,42.3549,16840.09371248854,12.792584609282637
1803,35.16622229649038,40.752270793295224,017,25,24487,11.821033976833977,11.695616216216216,2093.690451816319,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",27650,67,0.47220532307773083,0.4282920917711933,2866,2364.1336624625815,42.503227,-71.201713,-71.058701,42.3549,20266.1364504092,-5.5860484968048425
1810,26.09495077178281,15.131738383733568,009,25,33201,32.17093822393822,30.848458301158303,1076.2612405415853,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35816,55,0.45705250869424663,0.40687890307798513,1915,1161.0304686978532,42.648044,-71.161751,-71.058701,42.3549,33710.7889233656,10.963212388049241
1821,37.46240575969298,-0.3023056480753024,017,25,30310,16.964009652509652,16.567811196911197,1829.4510747231845,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32797,525,0.43896259337071036,0.39231020584177245,1272,1979.5614284954233,42.54933,-71.251725,-71.058701,42.3549,26829.32149574577,37.76471140776828
1824,23.43263005595741,6.2192578300599095,017,25,24911,18.13630386100386,17.74699884169884,1403.6739519849646,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",25754,359,0.45869695262753957,0.4148023924525313,1472,1451.174941167387,42.59079,-71.355182,-71.058701,42.3549,35807.23155773011,17.2133722258975
1830,42.19974795492962,37.301735130174116,009,25,25137,15.091463706563706,13.797645173745174,1821.8326158895504,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",26305,892,0.39991729882698773,0.35488380526658675,873,1906.484742052537,42.796313,-71.053436,-71.058701,42.3549,49139.76572890158,4.898012824755504
1832,24.571471708573885,13.377738388195157,009,25,22060,11.842384942084943,11.359444015444016,1941.99645422855,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",23270,825,0.39344908829271497,0.34518857569036077,488,2048.5157520352836,42.791114,-71.132859,-71.058701,42.3549,48938.1775377087,11.193733320378728
