zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,dist_to_cbd,pp_growth
1702,NA,NA,017,25,37206,8.853264092664093,8.09170193050193,4598.043813224359,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39799,780,0.43755220562360425,0.3912978661803779,1691,4918.495557773376,42.282576,-71.43676,-71.058701,42.3549,32142.960393694404,NA
1720,NA,NA,017,25,21361,20.143181853281853,19.713133204633206,1083.5923330026246,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",22791,304,0.5224370272459451,0.48143543418891727,1306,1156.132805648744,42.483953,-71.438495,-71.058701,42.3549,34358.62029565779,NA
1721,NA,NA,017,25,16593,12.868427027027026,12.329492277992278,1345.79750940904,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17710,24,0.4710792702402696,0.42687671349877376,693,1436.3932918480143,42.257755,-71.473526,-71.058701,42.3549,35822.557799277405,NA
1730,NA,NA,017,25,13221,13.876010038610039,13.69808725868726,965.1712498484274,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14070,52,0.5058734993989608,0.4637420308552543,905,1027.1507061014577,42.499331,-71.281905,-71.058701,42.3549,24390.005865717998,NA
1742,NA,NA,017,25,17726,25.745458687258687,24.438667953667952,725.3259479447013,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19121,104,0.5152672869789822,0.4767179297366091,1470,782.4076187888205,42.462911,-71.364496,-71.058701,42.3549,27862.055947691584,NA
1748,NA,NA,017,25,14925,27.888745945945946,26.261311196911198,568.3265351105335,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17598,30,0.48588025480175223,0.4396035357374218,787,670.1112472278171,42.224104,-71.540484,-71.058701,42.3549,42261.66447509179,NA
1752,NA,NA,017,25,38499,22.10125057915058,20.86536718146718,1845.1149057273806,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39736,24,0.44190825537981543,0.3940056084353271,2785,1904.399747889119,42.349617,-71.547214,-71.058701,42.3549,40192.741529544925,NA
1760,7.842418183958542,4.062106705751639,017,25,32786,15.814033976833977,14.810542857142858,2213.693334285036,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35761,197,0.4882511617157669,0.4499430592656589,2480,2414.56375670613,42.284822,-71.348811,-71.058701,42.3549,25120.736916212853,3.7803114782069027
1801,16.493036236106256,2.837195656604843,017,25,38903,12.963816602316601,12.652292664092665,3074.778700812629,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",40359,91,0.4379718751304532,0.39457297427848703,4071,3189.856658512117,42.488659,-71.154425,-71.058701,42.3549,16840.09371248854,13.655840579501414
1803,NA,NA,017,25,24487,11.821033976833977,11.695616216216216,2093.690451816319,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",27650,67,0.47220532307773083,0.4282920917711933,2866,2364.1336624625815,42.503227,-71.201713,-71.058701,42.3549,20266.1364504092,NA
